"Id","Existencia_de_irmãos","Experiência_conjugal","Sexo","IdadeIndiv","Horas_Trabalho_Semana","Tamanho_do_Agregado","Nivel_de_Escolaridade","resp"
296,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",50,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
312,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",50,">=36",1,"Nenhum e básico","Não tem filhos mas pensa vir a ter"
314,"Não tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",50,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
334,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",50,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
338,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",50,">=36",1,"Superior","Não tem filhos e não pensa vir a ter"
342,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",50,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
345,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",50,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
349,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",50,"16-35",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
350,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",50,">=36",1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
355,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",50,NA,1,"Nenhum e básico","Não tem filhos mas pensa vir a ter"
357,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",50,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
359,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",50,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
360,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",50,">=36",1,"Superior","Não tem filhos e não pensa vir a ter"
361,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",50,">=36",1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
373,"Não tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",50,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
377,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",50,">=36",1,"Superior","Não tem filhos e não pensa vir a ter"
386,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",49,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
401,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",49,">=36",1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
404,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",49,NA,1,"Superior","Não tem filhos e não pensa vir a ter"
405,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",49,">=36",1,"Superior","Não tem filhos e não pensa vir a ter"
406,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",49,">=36",2,"Superior","Não tem filhos e não pensa vir a ter"
412,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",49,"16-35",1,"Superior","Não tem filhos e não pensa vir a ter"
425,"Não tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",49,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
456,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",49,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
468,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","M",49,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
470,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",49,">=36",1,"Superior","Não tem filhos e não pensa vir a ter"
479,"Não tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",49,NA,1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
486,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",49,"16-35",1,"Superior","Não tem filhos e não pensa vir a ter"
490,"Tem/teve irmãos","Não teve nenhuma coabitação ou casamento","H",49,"16-35",1,"Secundário e pós-secundário","Não tem filhos e não pensa vir a ter"
496,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","M",49,">=36",1,"Nenhum e básico","Não tem filhos e não pensa vir a ter"
511,"Tem/teve irmãos","Já teve pelo menos uma coabitação ou casamento","H",49,NA,1,"Nenhum e básico","Não tem filhos mas pensa vir a ter"
