id;sexo;idade;instrucao;modalidade
141;Feminino;63;2.º ciclo;Caminhada
142;Masculino;62;2.º ciclo;Caminhada
143;Feminino;69;2.º ciclo;Caminhada
144;Feminino;64;2.º ciclo;Caminhada
145;Masculino;58;3.º ciclo;Outra
146;Feminino;65;3.º ciclo;Outra
147;Feminino;63;3.º ciclo;Fitness
148;Masculino;61;3.º ciclo;Caminhada
149;Masculino;64;3.º ciclo;Caminhada
150;Feminino;56;3.º ciclo;Fitness
151;Feminino;71;3.º ciclo;Outra
152;Feminino;79;3.º ciclo;Outra
153;Masculino;61;3.º ciclo;Outra
154;Masculino;73;3.º ciclo;Caminhada
155;Feminino;50;3.º ciclo;Caminhada
156;Feminino;67;3.º ciclo;Caminhada
157;Feminino;63;3.º ciclo;Caminhada
158;Masculino;54;3.º ciclo;Caminhada
159;Masculino;60;3.º ciclo;Caminhada
160;Masculino;60;Secundário;Outra
161;Masculino;57;Secundário;Fitness
162;Masculino;61;Secundário;Caminhada
163;Feminino;74;Secundário;Caminhada
164;Masculino;64;Secundário;BTT/Ciclismo
165;Masculino;54;Secundário;BTT/Ciclismo
166;Feminino;49;Secundário;Caminhada
167;Feminino;57;Secundário;Caminhada
168;Masculino;83;Secundário;Caminhada
169;Masculino;56;Secundário;Caminhada
170;Feminino;67;Secundário;Caminhada
171;Feminino;65;Secundário;Caminhada
172;Feminino;70;Superior;Outra
173;Feminino;71;Superior;Outra
174;Feminino;60;Superior;Outra
175;Masculino;67;Superior;Caminhada
176;Feminino;69;Superior;Caminhada
177;Masculino;69;Superior;Caminhada
178;Masculino;73;Superior;Caminhada
179;Masculino;69;Superior;Outra
180;Masculino;66;Superior;Fitness
181;Masculino;61;Superior;Outra
182;Feminino;56;Superior;Fitness
183;Feminino;75;Superior;Caminhada
184;Masculino;74;Superior;Caminhada
185;Masculino;63;Superior;Caminhada
186;Feminino;62;1.º ciclo ou inferior;Caminhada
187;Feminino;60;1.º ciclo ou inferior;Caminhada
188;Feminino;52;1.º ciclo ou inferior;Caminhada
189;Feminino;41;1.º ciclo ou inferior;Caminhada
190;Masculino;36;1.º ciclo ou inferior;Fitness
191;Masculino;57;1.º ciclo ou inferior;Caminhada
192;Feminino;49;1.º ciclo ou inferior;Caminhada
193;Masculino;43;2.º ciclo;Outra
194;Masculino;44;2.º ciclo;Outra
195;Feminino;48;2.º ciclo;Caminhada
196;Masculino;45;2.º ciclo;Caminhada
197;Masculino;42;2.º ciclo;Outra
198;Feminino;47;2.º ciclo;Caminhada
199;Masculino;53;2.º ciclo;Caminhada
200;Masculino;50;2.º ciclo;Caminhada
201;Feminino;54;3.º ciclo;Outra
202;Masculino;20;3.º ciclo;Outra
203;Feminino;61;3.º ciclo;Caminhada
204;Feminino;36;3.º ciclo;Caminhada
205;Feminino;51;3.º ciclo;Caminhada
206;Masculino;30;3.º ciclo;BTT/Ciclismo
207;Masculino;35;3.º ciclo;BTT/Ciclismo
208;Feminino;23;3.º ciclo;BTT/Ciclismo
209;Masculino;38;3.º ciclo;BTT/Ciclismo
210;Feminino;31;3.º ciclo;BTT/Ciclismo
211;Masculino;30;3.º ciclo;Outra
212;Masculino;46;3.º ciclo;BTT/Ciclismo
213;Feminino;27;3.º ciclo;BTT/Ciclismo
214;Masculino;39;3.º ciclo;BTT/Ciclismo
215;Masculino;40;3.º ciclo;Outra
216;Masculino;29;3.º ciclo;Outra
217;Masculino;25;3.º ciclo;Outra
218;Feminino;31;3.º ciclo;Caminhada
219;Masculino;60;3.º ciclo;Caminhada
220;Feminino;56;3.º ciclo;Caminhada
221;Feminino;49;3.º ciclo;Caminhada
222;Feminino;64;3.º ciclo;Caminhada
223;Feminino;30;;Fitness
224;Feminino;22;Secundário;Fitness
225;Masculino;38;Secundário;Outra
226;Masculino;32;Secundário;Outra
227;Feminino;30;Secundário;Outra
228;Masculino;34;Secundário;BTT/Ciclismo
229;Feminino;33;Secundário;Fitness
230;Masculino;21;Secundário;Outra
231;Masculino;32;Secundário;Outra
232;Masculino;23;Secundário;Outra
233;Masculino;38;Secundário;Outra
234;Feminino;33;Secundário;Outra
235;Masculino;30;Secundário;Outra
236;Masculino;29;Secundário;Outra
237;Masculino;40;Secundário;Outra
238;Masculino;43;Secundário;BTT/Ciclismo
239;Masculino;43;Secundário;Outra
240;Feminino;52;Secundário;Caminhada
241;Masculino;22;Secundário;Caminhada
242;Masculino;44;Secundário;Caminhada
243;Feminino;43;Secundário;Caminhada
244;Feminino;39;Secundário;Caminhada
245;Feminino;40;Secundário;Caminhada
246;Masculino;34;Secundário;Outra
247;Masculino;35;Secundário;Outra
248;Masculino;38;Secundário;BTT/Ciclismo
249;Masculino;29;Secundário;BTT/Ciclismo
250;Masculino;50;Secundário;Outra
251;Feminino;32;Secundário;BTT/Ciclismo
252;Masculino;47;Secundário;BTT/Ciclismo
253;Feminino;54;Secundário;Outra
254;Masculino;51;Secundário;Fitness
255;Masculino;24;Secundário;Fitness
256;Masculino;33;Secundário;BTT/Ciclismo
257;Masculino;32;Secundário;Fitness
258;Feminino;52;Secundário;Outra
259;Masculino;50;Secundário;BTT/Ciclismo
260;Masculino;22;Secundário;Outra
261;Masculino;52;Secundário;BTT/Ciclismo
262;Masculino;43;Secundário;Outra
263;Feminino;36;Secundário;BTT/Ciclismo
264;Feminino;36;Secundário;Fitness
265;Masculino;37;Secundário;Outra
266;Masculino;30;Secundário;Outra
267;Masculino;31;Secundário;Fitness
268;Feminino;48;Secundário;Caminhada
269;Feminino;49;Secundário;Caminhada
270;Feminino;47;Secundário;Caminhada
